LAB_ID;SNOMED;TRAN_SNOMED
*;M29000;M00110
*;43000;M00110
*;M72480;M00110
*;M52000;M00110
*;M00150;M00110
*;M30400;M00110
*;M90140;M00110
*;M73200;M00110
*;M10000;M00110
*;M54200;M00110
*;M72040;M00110
*;M44440;M00110
*;M14110;M00110
*;M74200;M00110
*;M79370;M00110
*;M33420;M00110
*;M43000;M00110
*;M90150;M00110
*;M32100;M00110
*;M43060;M00110
*;M42100;M00110
*;M39300;M00110
*;M33401;M00110
*;M29010;M00110
*;M40400;M00110
*;M72430;M00110
*;M18000;M00110
*;M29170;M00110
*;M84610;M00110
*;M30000;M00110
*;M49060;M00110
*;M40040;M00110
*;M90130;M00110
*;M76050;M00110
*;M79330;M00110
*;M84700;M00110
*;72000;M00110
*;M91200;M00110
*;M334;M00110
*;M001100;M00110
*;M72220;M00110
*;M26530;M00110
*;M33500;M00110
*;M57000;M00110
*;72600;M00110
*;M84000;M00110
*;M58240;M00110
*;M90840;M00110
*;M31210;M00110
*;M73300;M00110
*;M33000;M00110
*;M41740;M00110
*;M45020;M00110
*;M77600;M00110
*;M41700;M00110
*;73220;M00110
*;M40000;M00110
*;M35100;M00110
*;M46700;M00110
*;M02760;M00110
*;E1370;M00110
*;M95800;M00110
*;M33402;M00110
*;M87800;M00110
*;D0650;M00110
*;E4000;M00110
*;M21400;M00110
*;M72000;M00110
*;D0550;M00110
*;M58160;M00110
*;M91310;M00110
*;D0350;M00110
*;42100;M00110
*;M40700;M00110
*;M47150;M00110
*;M90000;M00110
*;M72830;M00110
*;M000;M00110
*;M88000;M00110
*;M20000;M00110
*;M54700;M00110
*;M79320;M00110
*;M14700;M00110
*;M38000;M00110
*;M81400;M00110
*;M26000;M00110
*;40000;M00110
*;M73220;M00110
*;M79000;M00110
*;M33790;M00110
*;M35000;M00110
*;M01111;M00110
*;M33520;M00110
*;M90540;M00110
*;M55400;M00110
*;M26500;M00110
*;M86000;M00110
*;M72600;M00110
*;76800;M00110
*;M28000;M00110
*;M72200;M00110
*;M88100;M00110
*;M43030;M00110
*;M48890;M00110
*;M76900;M00110
*;M79340;M00110
*;M76080;M00110
*;M31050;M00110
*;M91700;M00110
*;M42000;M00110
*;E1070;M00110
*;M47000;M00110
*;M72710;M00110
*;M74030;M00110
*;M84410;M00110
*;D05500;M00110
*;M91010;M00110
*;M76800;M00110
*;M76000;M00110
*;M58110;M00110
*;M76820;M00110
*;M43;M00110
*;M47200;M00110
*;M50000;M00110
*;M79590;M00110
*;M44140;M00110
*;M39800;M00110
*;M76310;M00110
*;M36500;M00110
*;M88900;M00110
*;M74060;M00110
*;M26800;M00110
*;M73330;M00110
*;M82630;M00110
*;M72750;M00110
*;M91210;M00110
*;M33410;M00110
*;M00;M00110
*;E0111;M00110
*;M76510;M00110
*;M3121O;M00110
*;M41000;M00110
*;M44000;M00110
*;M45000;M00110
*;M88320;M00110
*;M91000;M00110
*;M88400;M00110
*;M49400;M00110
*;M57500;M00110
*;M79510;M00110
*;M55700;M00110
*;M79360;M00110
*;M54730;M00110
*;M69870;M00110
*;M52100;M00110
*;M79310;M00110
*;M48000;M00110
*;M54000;M00110
*;M10540;M00110
*;M76100;M00110
*;M44200;M00110
*;M79500;M00110
*;M43005;M00110
*;M33490;M00110
*;D0111;M00110
*;M72060;M00110
*;M88940;M00110
*;73000;M00110
*;M40760;M00110
*;M49000;M00110
*;F00005;M00110
*;M79300;M00110
*;M54040;M00110
*;M53200;M00110
*;M36000;M00110
*;M768;M00110
*;M0011;M00110
*;M88930;M00110
*;M87200;M00110
*;M09000A;M09005
*;A36;M09010
*;M9000;M09010
*;M09011;M09010
*;M09050;M09010
*;M09;M09010
*;M09015;M09010
*;M091000;M09010
*;P04850;M09010
*;MDNA-X;M09010
*;P04810;M09010
*;M9030;M09010
*;M09350;M09010
*;M01110;M09010
*;M00000;M09010
*;M05013;M09010
*;BIOJ;M09010
*;M00020;M09010
*;M0901;M09010
*;M0000;M09010
*;M09300;M09010
*;M0909;M09010
*;M86700;M09010
*;M0903;M09010
*;S02;M09010
*;M15600;M09010
*;M00030;M09010
*;1SD;M09010
*;M091;M09010
*;P3070;M09010
*;M09X06;M09010
*;M00300;M09010
*;M69700B;M69700
*;M72425;M69720
*;MV74006;M74006
*;M69706;M74006
*;74007;M74007
*;MV74007;M74007
*;M767000;M76700
*;80702;M80702
*;M807032;M80703
*;M807033;M80703
*;M807031;M80703
*;M814032;M81403
*;M814033;M81403
*;M814031;M81403
*;A1;M00110
*;A3;M74007
*;A4;M80702
*;D0445;M76700
*;E6;M76700
*;E7;M76700
*;I;M74006
*;II;M74007
*;III;M80702
*;KA;M69720
*;M00010;M09010
*;M00100;M00110
*;M00111;M09019
*;M00120;M00110
*;M01000;M00110
*;M01100;M00110
*;M03500;M76700
*;M09000;M09005
*;M09002;M09019
*;M09004;M09010
*;M09014;M09005
*;M09020;M09010
*;M09025;M09010
*;M09030;M09010
*;M09031;M09010
*;M09033;M09010
*;M09070;M09010
*;M09072;M09005
*;M09100;M09010
*;M09450;M00110
*;M09X01;M09010
*;M09X05;M09005
*;M15000;M09019
*;M69000;M76700
*;M69030;M69700
*;M69705;M69710
*;M69708;M69700
*;M69709;M69700
*;M69715;M69710
*;M69716;M74006
*;M69717;M74007
*;M69718;M80702
*;M69721;M74007
*;M69722;M74007
*;M69723;M74007
*;M69725;M69720
*;M69726;M69720
*;M69727;M69720
*;M69728;M81402
*;M69729;M69720
*;M69730;M69700
*;M69736;M69700
*;M69737;M69700
*;M69740;M69700
*;M69746;M69700
*;M69747;M69700
*;M69748;M69700
*;M69760;M69700
*;M69780;M00110
*;M69790;M76700
*;M69796;M69710
*;M69797;M76700
*;M69798;M69700
*;M74000;M69700
*;M74008;M80702
*;M74009;M69700
*;M76697;M76700
*;M76698;M76700
*;M76699;M69710
*;M76701;M76700
*;M76710;M76700
*;M76720;M76700
*;M80002;M69700
*;M80003;M80009
*;M80007;M80009
*;M80011;M69700
*;M80013;M80009
*;M80023;M80009
*;M80029;M80413
*;M80101;M80009
*;M80102;M80702
*;M80103;M80009
*;M80107;M80009
*;M80123;M80009
*;M80209;M80009
*;M80419;M80413
*;M80423;M80413
*;M80701;M80703
*;M80704;M80703
*;M80705;M80703
*;M80707;M80703
*;M80708;M80703
*;M80709;M80009
*;M80713;M80703
*;M80723;M80703
*;M80733;M80703
*;M80743;M80703
*;M80753;M80703
*;M80761;M80703
*;M80763;M80703
*;M81404;M81403
*;M81405;M81403
*;M81407;M81403
*;M81408;M81403
*;M81453;M81403
*;M83101;M81401
*;M83103;M81403
*;M83107;M81403
*;M83401;M69700
*;N053;M80009
*;N062;M76700
*;N083;M69720
*;OA;M69700
*;S15;M76700
*;Z76700;M76700
51;M00100;M00110
51;M09000;M09010
51;M09005;M00110
51;M09350;M09010
51;M09450;M00110
51;M18000;M00110
51;M21400;M00110
51;M26000;M00110
51;M28000;M00110
51;M28030;M00110
51;M31050;M00110
51;M3121O;M00110
51;M32100;M00110
51;M33000;M00110
51;M33400;M00110
51;M33410;M00110
51;M35103;M00110
51;M38000;M00110
51;M40000;M00110
51;M41000;M00110
51;M42000;M00110
51;M42100;M00110
51;M43000;M00110
51;M43060;M00110
51;M45020;M00110
51;M49000;M00110
51;M50000;M00110
51;M51600;M00110
51;M54000;M00110
51;M58000;M00110
51;M69717;M74007
51;M69727;M69720
51;M69728;M81402
51;M69780;M00110
51;M69797;M76700
51;M69820;M00110
51;M72000;M00110
51;M72050;M00110
51;M72060;M00110
51;M72420;M00110
51;M72425;M69720
51;M72600;M00110
51;M73000;M00110
51;M73220;M00110
51;M74008;M80702
51;M74200;M00110
51;M76080;M00110
51;M76500;M00110
51;M76510;M00110
51;M76701;M76700
51;M76720;M76700
51;M76800;M00110
51;M76810;M00110
51;M79310;M00110
51;M79320;M00110
51;M79330;M00110
51;M79340;M00110
51;M79360;M00110
51;M79370;M00110
51;M79450;M00110
51;M79500;M00110
51;M80520;M00110
51;M80701;M80703
51;M807032;M80703
51;M80763;M80703
51;M814031;M81403
51;M814033;M81403
51;M81406;M81403
51;M82100;M00110
51;M83803;M81403
51;M88500;M00110
51;M88900;M00110
51;M88911;M00110
51;M88930;M00110
51;M88940;M00110
51;M89320;M00110
51;M91000;M00110
*;M0945;M00110
241;D0403;M00110
241;M43000;M00110
241;M40000;M00110
241;M6979;M00110
*;M76300;M00110
*;M26370;M00110
*;M76810;M00110
*;M72100;M00110
*;M54720;M00110
*;M45010;M00110
*;M72850;M00110
*;M29360;M00110
*;M88600;M00110
*;M71000;M00110
*;M75700;M00110
*;M14430;M00110
*;M73320;M00110
*;M80000;M00110
*;M58000;M00110
*;M79430;M00110
*;M29210;M00110
*;M84400;M00110
*;M28030;M00110
*;E1000;M00110
*;M79900;M00110
*;M55590;M00110
*;M33200;M00110
*;D0110;M00110
*;M72020;M00110
*;M72031;M00110
*;M54300;M00110
*;M82100;M00110
